SE,NewKPI1,NewKPI2,NewKPI3,KPI0012,KPI0017,KPI0068,KPI0077,KPI0116,KPI3226,TS,SI,IT,TSI,MarketArea,ReportYearNumber
1.160460094,301.6329525,-100.9498782,128.4702555,1.046279657,260.4943881,47.83333333,84186.5,55.15151515,0.133102579,-30449.80982,-12969.05665,38750.86247,-3911894.847,Ford - Great Lakes,2008
1.271095782,202.3747908,40.19276977,119.7863705,0.773346603,290.8915784,49.66666667,102391.3333,58.92654028,0.130966227,8134.003374,4814.546011,24241.74167,974342.7418,Ford - Great Lakes,2009
1.24587156,347.85,83.05,36.33,0.682709759,334.7304627,59,134049.25,43.33399602,0.119774778,28888.9425,3017.2065,12637.3905,1049535.281,Ford - Great Lakes,2010
1.167146974,250.79,77.21,52,0.684366698,342.4433668,74.25,179356.9167,49.60670732,0.114606804,19363.4959,4014.92,13041.08,1006901.787,Ford - Great Lakes,2011
0.911591356,183.32,62.39,67.87,0.756031742,387.3100543,82.66666667,200705.6667,59.64038728,0.109807165,11437.3348,4234.4093,12441.9284,776251.9129,Ford - Great Lakes,2012
0.448922965,755.6186583,219.446767,-27.52859067,0.801826425,228.5669256,62.16666667,148431.1667,100.2149254,0.151319679,165818.0716,-6041.060223,-20801.11675,-4564737.82,Ford - Central,2008
0.319536187,199.2703624,124.1736345,22.11006966,0.823098821,217.8394189,47,89381.75,126.6837349,0.143926094,24744.12515,2745.487709,4405.881594,547094.3307,Ford - Central,2009
0.696745562,252.02,85.85,56.33,0.756791116,242.7508506,51.58333333,104304.25,78.7638484,0.131275637,21635.917,4835.9305,14196.2866,1218751.205,Ford - Central,2010
0.722943723,243.38,85.03,52.43,0.680958,287.9094311,60.08333333,121161.5833,91.22285714,0.136921692,20694.6014,4458.1229,12760.4134,1085017.951,Ford - Central,2011
0.607008761,195.84,70.35,79.9,0.709731561,308.5391653,46.08333333,112896.4167,98.24137931,0.138693323,13777.344,5620.965,15647.616,1100809.786,Ford - Central,2012
1.156195007,341.9790742,53.75904354,49.78468398,0.626117485,295.0326087,11,23877.58333,37.23076923,0.160031592,18384.46794,2676.376994,17025.32014,915264.9265,Ford - Great Lakes,2008
0.974246036,998.4048338,145.4311189,4.883081754,0.644430236,320.8184132,9.583333333,21400,38.375,0.159621767,145199.1321,710.1520432,4875.292427,709019.2326,Ford - Great Lakes,2009
1.053435115,332.23,61.3,43.67,0.56246135,350.4673496,12.5,30148.58333,35.81666667,0.152317552,20365.699,2676.971,14508.4841,889370.0753,Ford - Great Lakes,2010
0.81496063,253.2,34.49,84.67,0.589252102,357.5071633,18.5,44488.33333,32.61176471,0.129959361,8732.868,2920.2683,21438.444,739411.9336,Ford - Great Lakes,2012
0.253521127,201.77,15.42,120.8943154,1.172959255,119.6708464,2,3272.75,16.15789474,0.065590304,3111.2934,1864.190343,24392.84602,376137.6856,Ford - Central,2010
0.258426966,140.65,28.71,88.47522697,1.191196986,108.2079503,3.416666667,7043.1525,49.67741935,0.058823705,4038.0615,2540.123766,12444.04067,357268.4077,Ford - Central,2012
0.897273272,900.8307062,247.1884991,48.98455301,0.884725009,244.1702153,120.5,290775.25,70.15384615,0.123267729,222674.9902,12108.41814,44126.78948,10907634.86,Ford - Central,2008
0.032267215,627.6683683,60.90729657,115.5757138,0.843532808,233.5976322,85.08333333,187697.1667,99.81936416,0.121068644,38229.58346,7039.404277,72543.2197,4418411.396,Ford - Central,2009
0.800985222,640.86,78.03,27.43,0.765151763,289.0901557,92.41666667,245800.25,68.90172643,0.133711139,50006.3058,2140.3629,17578.7898,1371672.968,Ford - Central,2010
0.677235772,308.3,69.14,37.86,0.600882938,342.280834,100.25,298416.5833,80.88848039,0.144270604,21315.862,2617.6404,11672.238,807018.5353,Ford - Central,2011
0.672847682,406.02,52.94,43.14,0.54872896,402.8999476,117.0833333,410547.4167,67.6180022,0.143887274,21494.6988,2283.8316,17515.7028,927281.3062,Ford - Central,2012
0.634645804,488.9661533,190.875344,92.02319958,0.919988131,276.8170547,13.08333333,26846.25,60.35042735,0.142226762,93331.58272,17564.95988,44996.22991,8588670.863,Ford - Northeast,2009
0.487179487,133.27,64.06,122.5,0.867226028,267.8669366,10,20653.91667,112.3170732,0.158615624,8537.2762,7847.35,16325.575,1045816.335,Ford - Northeast,2011
0.695121951,221.22,93.48,82,1.043902256,238.2297376,11.16666667,19114.25,99.45833333,0.13268452,20679.6456,7665.36,18140.04,1695730.939,Ford - Northeast,2012
0.437665765,498.4262195,210.5005903,-8.979767559,0.930491448,140.9011461,3.166666667,7289.75,61.6,0.150777392,104919.0134,-1890.246372,-4475.751596,-942148.3531,Ford - Central,2008
