    a
a       1    2    3    4    5    6    7    8    9   10
  1  1922    0    0    0    0    0    0    0    0    0
  2     0 4623    0    0    0    0    0    0    0    0
  3     0    0 1222    0    0    0    0    0    0    0
  4     0    0    0  703    0    0    0    0    0    0
  5     0    0    0    0  316    0    0    0    0    0
  6     0    0    0    0    0  581    0    0    0    0
  7     0    0    0    0    0    0  125    0    0    0
  8     0    0    0    0    0    0    0   27    0    0
  9     0    0    0    0    0    0    0    0   43    0
  10    0    0    0    0    0    0    0    0    0   26
